2025-01,"500,000","200,000","2,000","702,000"
2025-02,"500,000","1,209,020","12,090","1,721,110"
2025-03,"500,000","1,721,110","17,211","2,238,321"
2025-04,"500,000","2,238,321","22,383","2,760,704"
2025-05,"500,000","2,760,704","27,607","3,288,311"
2025-06,"500,000","3,288,311","32,883","3,821,194"
2025-07,"500,000","3,821,194","38,212","4,359,406"
2025-08,"500,000","4,359,406","43,594","4,903,000"
2025-09,"500,000","4,903,000","49,030","5,452,030"
2025-10,"500,000","5,452,030","54,520","6,006,550"
2025-11,"500,000","6,006,550","60,066","6,566,616"
2025-12,"500,000","6,566,616","65,666","7,132,282"
2026-01,"500,000","7,132,282","71,323","7,703,605"
2026-02,"500,000","7,703,605","77,036","8,280,641"
2026-03,"500,000","8,280,641","82,806","8,863,447"
2026-04,"500,000","8,863,447","88,634","9,452,081"
2026-05,"500,000","9,452,081","94,521","10,046,602"
2026-06,"500,000","10,046,602","100,466","10,647,068"
2026-07,"500,000","10,647,068","106,471","11,253,539"
2026-08,"500,000","11,253,539","112,535","11,866,074"
2026-09,"500,000","11,866,074","118,661","12,484,735"
2026-10,"500,000","12,484,735","124,847","13,109,582"
2026-11,"500,000","13,109,582","131,096","13,740,678"
2026-12,"500,000","13,740,678","137,407","14,378,085"
2027-01,"500,000","14,378,085","143,781","15,021,866"
2027-02,"500,000","15,021,866","150,219","15,672,085"
2027-03,"500,000","15,672,085","156,721","16,328,806"
2027-04,"500,000","16,328,806","163,288","16,992,094"
2027-05,"500,000","16,992,094","169,921","17,662,015"
2027-06,"500,000","17,662,015","176,620","18,338,635"
2027-07,"500,000","18,338,635","183,386","19,022,021"
2027-08,"500,000","19,022,021","190,220","19,712,241"
2027-09,"500,000","19,712,241","197,122","20,409,363"
2027-10,"500,000","20,409,363","204,094","21,113,457"
2027-11,"500,000","21,113,457","211,135","21,824,592"
2027-12,"500,000","21,824,592","218,246","22,542,838"
2028-01,"500,000","22,542,838","225,428","23,268,266"
2028-02,"500,000","23,268,266","232,683","24,000,949"
2028-03,"500,000","24,000,949","240,009","24,740,958"
2028-04,"500,000","24,740,958","247,410","25,488,368"
2028-05,"500,000","25,488,368","254,884","26,243,252"
2028-06,"500,000","26,243,252","262,433","27,005,685"
2028-07,"500,000","27,005,685","270,057","27,775,742"
2028-08,"500,000","27,775,742","277,757","28,553,499"
2028-09,"500,000","28,553,499","285,535","29,339,034"
2028-10,"500,000","29,339,034","293,390","30,132,424"
2028-11,"500,000","30,132,424","301,324","30,933,748"
2028-12,"500,000","30,933,748","309,337","31,743,085"
2029-01,"500,000","31,743,085","317,431","32,560,516"
2029-02,"500,000","32,560,516","325,605","33,386,121"
2029-03,"500,000","33,386,121","333,861","34,219,982"
